IRO_INSTITUTION,PERSON_UID,ID_NUMBER,AGE,CITIZENSHIP_DESC,ETHNICITY,ETHNICITY_DESC,IS_WHITE,GENDER,IS_NON_BINARY,HAWAIIAN_IRO,DEGREE,DEPARTMENT,EDLVL_IRO,FT_PT_STAT,MAJOR_IRO,MAJOR_DESC_IRO,PROGRAM,PROGRAM_DESC
HIL,1804475,24552856,22,US Citizen,HW,Native Hawaiian or Part-Hawn,0,F,1,Y,BA,NATS,SR,FT,MARE,Marine Science,BA-MARE,Marine Science-BA
MAN,1804572,24554565,22,US Citizen,CA,Caucasian or White,1,F,1,N,BS,SLSC,JR,FT,MB,Marine Biology,MB-BS,Marine Biology-BS
MAN,1804609,24554938,22,US Citizen,CA,Caucasian or White,1,M,1,N,BS,PA,SR,FT,ASTP,Astrophysics,ASTP-BS,Astrophysics-BS
MAN,1821193,24722689,21,US Citizen,MX,Mixed Race (2 or more),0,F,1,N,BS,EE,SR,FT,CENG,Computer Engineering,CENG-BS,Computer Engineering-BS
MAN,1834171,24851599,21,Non-Citizen,JP,Japanese,0,M,1,N,BS,SLSC,SR,FT,MB,Marine Biology,MB-BS,Marine Biology-BS
MAN,1844867,24959500,27,US Citizen,CA,Caucasian or White,1,M,1,N,BS,SLSC,SR,FT,BIOL,Biology,BIOL-BS,Biology-BS
MAN,1856458,25073649,20,US Citizen,HW,Native Hawaiian or Part-Hawn,0,F,1,Y,BS,CEE,JR,FT,CE,Civil Engineering,CE-BS,Civil Engineering-BS
MAN,1856360,25072667,21,US Citizen,CH,Chinese,0,M,1,N,BA,CHEM,JR,PT,CHEM,Chemistry,CHEM-BA,Chemistry-BA
MAN,1855182,25060931,20,US Citizen,MA,Mixed Asian,0,M,1,N,BS,EE,SR,FT,CENG,Computer Engineering,CENG-BS,Computer Engineering-BS
MAN,1869767,25205527,21,US Citizen,FI,Filipino,0,F,1,N,BA,ACM,JR,FT,CM,Creative Media,CM-BA,Creative Media-BA
MAN,1870267,25213501,21,US Citizen,MX,Mixed Race (2 or more),0,M,1,N,BS,CHEM,SR,PT,CHEM,Chemistry,CHEM-BS,Chemistry-BS
MAN,1869223,25206903,21,US Citizen,HW,Native Hawaiian or Part-Hawn,0,M,1,Y,BS,SLSC,SR,FT,BIOL,Biology,BIOL-BS,Biology-BS
MAN,1869274,25203141,21,US Citizen,CA,Caucasian or White,1,F,1,N,BS,BIOL,JR,FT,BIOL,Biology,BIOL-BS,Biology-BS
MAN,1881625,25324123,20,US Citizen,CH,Chinese,0,F,1,N,BS,ICS,SR,FT,CSCI,Computer Science,CSCI-BS,Computer Science-BS
MAN,1881918,25327073,25,US Citizen,MX,Mixed Race (2 or more),0,N,0,N,BS,SLSC,SR,FT,MB,Marine Biology,MB-BS,Marine Biology-BS
MAN,1881926,25327156,19,US Citizen,MX,Mixed Race (2 or more),0,M,1,N,BS,SLSC,JR,FT,BIOL,Biology,BIOL-BS,Biology-BS
MAN,1893530,25441136,24,US Citizen,MC,Micronesian (not GC),0,M,1,N,BS,SLSC,SR,PT,BIOL,Biology,BIOL-BS,Biology-BS
MAN,1892530,25430888,20,US Citizen,CH,Chinese,0,M,1,N,BS,ME,JR,FT,ME,Mechanical Engineering,ME-BS,Mechanical Engineering-BS
MAN,1900556,25788259,20,US Citizen,MX,Mixed Race (2 or more),0,F,1,Y,BS,SLSC,JR,PT,MB,Marine Biology,MB-BS,Marine Biology-BS
HIL,1900584,25511948,23,US Citizen,CA,Caucasian or White,1,F,1,N,BA,MARE,SR,PT,MARE,Marine Science,BA-MARE1,Marine Science-BA
MAN,1907772,25583267,20,US Citizen,MA,Mixed Asian,0,M,1,N,BS,ME,JR,FT,ME,Mechanical Engineering,ME-BS,Mechanical Engineering-BS
MAN,1907345,25579099,20,US Citizen,CA,Caucasian or White,1,F,1,N,BS,OEST,JR,FT,GES,Global Environmental Science,GES-BS,Global Environmental Sci-BS
MAN,1907346,25578935,22,US Citizen,MX,Mixed Race (2 or more),0,F,1,N,BS,CEE,SR,FT,CE,Civil Engineering,CE-BS,Civil Engineering-BS
MAN,1919204,25694593,20,US Citizen,CA,Caucasian or White,1,F,1,N,BA,SLSC,JR,FT,BIOL,Biology,BIOL-BA,Biology-BA
MAN,1930374,25803674,19,US Citizen,MX,Mixed Race (2 or more),0,M,1,N,BS,EE,JR,FT,EE,Electrical Engineering,EE-BS,Electrical Engineering-BS
MAN,1939339,25893275,28,US Citizen,CA,Caucasian or White,1,N,0,N,BS,SLSC,SR,PT,MB,Marine Biology,MB-BS,Marine Biology-BS
MAN,1986570,26372940,19,US Citizen,KO,Korean,0,N,0,N,BS,ICS,JR,FT,CSCI,Computer Science,CSCI-BS,Computer Science-BS
MAN,2034804,26864258,20,Non-Citizen,OP,Other Pacific Islander,0,M,1,N,BS,ENGR,JR,FT,PREN,Pre-Engineering,PREN-BS(40),Pre-Engineering-BS
MAN,1313073,17872843,33,US Citizen,MX,Mixed Race (2 or more),0,M,1,N,BA,MATH,SR,PT,MATH,Mathematics,MATH-BA,Mathematics-BA
MAN,1392238,19682976,27,US Citizen,HW,Native Hawaiian or Part-Hawn,0,M,1,Y,BA,ICS,SR,PT,ICS,Information & Computer Science,ICS-BA,Information & Computer Sci-BA
